site_code,n_sims,mean_N0,max_N0,mean_HC_prop,mean_KE,min_KT,median_KT,max_KT,median_KC_raw,median_KC,prop_KC_constrained,median_scale
GR,1701,34.79717813051147,70,0.37973649033479867,6.4584525715322085,15.00716689741239,30.37173262098804,44.998424558434635,81.69276649401964,81.69276649401964,0.09700176366843033,0.004493135402933233
RR,1702,29.53290246768508,55,0.4879404500892733,6.516568896603923,15.02414041897282,30.19066997570917,44.99688776442781,62.31699162158817,62.31699162158817,0.09283196239717979,0.0044735697404874545
TW,1670,29.07784431137724,75,0.38175525954321987,6.475136980942513,15.003036791458726,29.598467722535133,44.979121482465416,77.8064414492066,79.458062133323807,0.09580838323353294,0.00429827193603622
AL,1636,7.393031784841076,15,0.33280838641548977,6.537061753322161,15.01643750583753,30.232297461479902,44.97921141330153,96.14935528402125,96.14935528402125,0,0.004784348959925986
SI,1691,4.828503843879362,20,0.6416859953200577,6.576020010109243,15.031172961462289,29.87882682820782,44.99772337032482,47.02601439402705,47.02601439402705,0.0011827321111768185,0.004676883033766675
TB,1600,3.268750000000001,5,0.5117131349865991,6.522368654012389,15.015750867314637,29.71438187523745,44.979182314127684,58.9730025199615,58.9730025199615,0,0.004308225570785067
