KE,KT,HC_prop,scale,KC,scenario,HC_label,N,dN
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,0,0.02
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,0.10306326939593473,0.019559544106093847
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,0.20612653879186946,0.01912450351186179
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,0.30918980818780417,0.018694852673325883
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,0.4122530775837389,0.01827056604650816
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,0.5153163469796737,0.017851618087430684
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,0.6183796163756083,0.017437983252115492
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,0.7214428857715431,0.017029635996584636
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,0.8245061551674778,0.016626550776860163
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,0.9275694245634125,0.01622870204896412
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,1.0306326939593473,0.015836064268918554
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,1.133695963355282,0.015448611892745516
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,1.2367592327512167,0.015066319376467045
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,1.3398225021471515,0.014689161176105194
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,1.4428857715430863,0.014317111747682016
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,1.5459490409390209,0.013950145547219548
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,1.6490123103349557,0.013588237030739843
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,1.7520755797308905,0.01323136065426495
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,1.855138849126825,0.012879490873816915
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,1.9582021185227598,0.012532602145417784
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,2.0612653879186946,0.012190668925089602
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,2.164328657314629,0.011853665668854428
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,2.267391926710564,0.011521566832734295
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,2.370455196106499,0.011194346872751258
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,2.4735184655024334,0.010871980244927366
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,2.5765817348983684,0.010554441405284661
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,2.679645004294303,0.010241704809845197
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,2.7827082736902375,0.009933744914631013
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,2.8857715430861726,0.009630536175664166
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,2.988834812482107,0.0093320530489667
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,3.0918980818780417,0.009038269990560658
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,3.1949613512739767,0.008749161456468093
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,3.2980246206699113,0.008464701902711048
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,3.401087890065846,0.008184865785311577
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,3.504151159461781,0.00790962756029172
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,3.6072144288577155,0.007638961683673531
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,3.71027769825365,0.007372842611479053
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,3.813340967649585,0.007111244799730334
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,3.9164042370455197,0.006854142704449427
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,4.019467506441455,0.00660151078165837
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,4.122530775837389,0.006353323487379218
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,4.225594045233324,0.006109555277634017
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,4.328657314629258,0.005870180608444812
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,4.431720584025193,0.005635173935833654
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,4.534783853421128,0.005404509715822585
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,4.637847122817063,0.005178162404433659
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,4.740910392212998,0.0049561064576889215
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,4.843973661608932,0.004738316331610419
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,4.947036931004867,0.004524766482220198
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,5.050100200400801,0.004315431365540307
