site_code,n_sims,median_final_N,lower_final_N,upper_final_N,p_above_KT,p_near_KE,p_near_KC,median_KC
GR,1701,41.07533826905652,4.956525197510891,145.2312859179354,0.5726043503821282,0,0.27983539094650206,81.69276649401964
RR,1702,27.72944100008004,5.172896719953604,66.77276075154684,0.4694477085781434,0,0.17685076380728554,62.31699162158817
TW,1670,20.302896566408982,3.7282149133985545,109.80457938700047,0.4502994011976048,0.12215568862275449,0.21317365269461078,79.458062133323807
AL,1636,6.978783298422806,2.3733343531265305,13.569483657065296,0,0.41992665036674814,0,96.14935528402125
SI,1691,6.038285429457822,1.974137561199353,14.866807585756549,0.006505026611472502,0.6457717327025428,5.913660555884093e-4,47.02601439402705
TB,1600,5.6224774458544715,2.2033584770531918,9.163528399404827,0,0.825,0,58.9730025199615
