temp_source,n_days,min_date,max_date,mean_temp_c,sd_temp_c,min_temp_c,max_temp_c
ANALYSISFORECAST_thetao_0.49m,542,2025-01-01,2026-06-26,29.360483632902962,1.1748490267176657,26.75617853800456,31.43486722310384
MULTIOBS_to_surface,1827,2020-01-01,2024-12-31,29.43382320811204,1.014529796972976,26.283000946044922,32.444000244140625
