KT,site_code,site,site_type,transect,HC,HC_prop,KC
15,TB,Tanote Bay,Control,TB1,66.64,0.6664,22.509003601440575
15,TB,Tanote Bay,Control,TB2,55.084067253803035,0.5508406725380304,27.23110465116279
15,TB,Tanote Bay,Control,TB3,55.2,0.552,27.173913043478258
15,TB,Tanote Bay,Control,TB4,46.036829463570854,0.46036829463570855,32.582608695652176
15,TB,Tanote Bay,Control,TB5,51.64658634538153,0.5164658634538153,29.04354587869362
15,TB,Tanote Bay,Control,TB6,35.50488599348534,0.35504885993485336,42.247706422018354
15,TB,Tanote Bay,Control,TB7,48.31460674157304,0.48314606741573035,31.046511627906977
20,GR,Green Rock,High Density,GR1,39.519999999999996,0.39519999999999994,50.60728744939272
20,GR,Green Rock,High Density,GR2,27.200000000000003,0.272,73.52941176470588
20,GR,Green Rock,High Density,GR3,45.28,0.45280000000000004,44.16961130742049
20,GR,Green Rock,High Density,GR4,58.08,0.5808,34.43526170798898
20,GR,Green Rock,High Density,GR5,29.15601023017903,0.2915601023017903,68.59649122807016
20,GR,Green Rock,High Density,GR6,20.394736842105264,0.20394736842105263,98.06451612903226
20,GR,Green Rock,High Density,GR7,26.380873866446823,0.26380873866446825,75.8125
20,GR,Green Rock,High Density,GR8,60.21052631578947,0.6021052631578947,33.21678321678322
20,RR,Red Rock,High Density,RR1,48.4,0.484,41.32231404958678
20,RR,Red Rock,High Density,RR2,55.84,0.5584,35.816618911174785
20,RR,Red Rock,High Density,RR3,46.88,0.46880000000000005,42.662116040955624
20,RR,Red Rock,High Density,RR4,52.44195356285029,0.5244195356285029,38.13740458015267
20,RR,Red Rock,High Density,RR5,39.55659276546091,0.39556592765460913,50.560471976401175
20,RR,Red Rock,High Density,RR6,50.12244897959184,0.5012244897959184,39.90228013029316
20,TW,NA,High Density,TW1,51.24099279423538,0.5124099279423538,39.03125
20,TW,NA,High Density,TW2,31.916599839615078,0.3191659983961508,62.66331658291457
20,TW,NA,High Density,TW3,36.559999999999995,0.3655999999999999,54.704595185995636
20,TW,NA,High Density,TW4,26.479999999999997,0.2648,75.52870090634441
20,TW,NA,High Density,TW5,42.38782051282051,0.4238782051282051,47.183364839319474
20,AL,Aow Leuk,Control,AL1,26.96,0.2696,74.1839762611276
20,AL,Aow Leuk,Control,AL2,22.017614091273018,0.2201761409127302,90.83636363636363
20,AL,Aow Leuk,Control,AL3,31.11467522052927,0.3111467522052927,64.27835051546391
20,AL,Aow Leuk,Control,AL4,22.248995983935743,0.22248995983935743,89.89169675090253
20,AL,Aow Leuk,Control,AL5,57.99999999999999,0.58,34.48275862068966
20,AL,Aow Leuk,Control,AL6,25.759999999999998,0.2576,77.63975155279503
20,AL,Aow Leuk,Control,AL7,30.8,0.308,64.93506493506493
20,AL,Aow Leuk,Control,AL8,56.592592592592595,0.5659259259259259,35.340314136125656
20,AL,Aow Leuk,Control,AL9,27.884615384615387,0.27884615384615385,71.72413793103448
20,SI,Shark Island,Control,SI1,75.10008006405124,0.7510008006405124,26.631130063965884
20,SI,Shark Island,Control,SI2,44.32,0.4432,45.12635379061372
