site_code,site,site_type,n_transects,mean_HC,sd_HC,mean_TUR,sd_TUR,mean_MAC,sd_MAC,mean_AB,sd_AB,mean_OB,sd_OB
GR,Green Rock,High Density,8,38.27776840681507,15.076049951290395,27.509879114282885,17.329181663473943,2.9158915926731654,1.8901729029773853,25.148864232218155,21.191479938775245,5.84180718032651,2.8879342983264524
RR,Red Rock,High Density,6,48.87349921798384,5.546690212204853,32.4213070895043,13.119254386825805,3.3301360820675368,1.9025604341171383,10.514394001297926,16.884400022499808,4.567266224572066,2.4159577813463247
TW,NA,High Density,5,37.71708262933419,9.565150356214623,37.05326850644252,15.205079993912863,1.2173595914710096,0.5056352705561484,18.918698725657475,8.734175356548871,4.420795551531802,1.7025905552333922
AL,Aow Leuk,Control,9,33.48649925254956,13.870553289363171,33.93852168468359,12.307047591405889,0.964644011917514,1.5994674608703032,25.698729019752303,13.243944073974056,4.825594646490768,5.558757118644527
SI,Shark Island,Control,7,63.616640884020676,14.758864852873955,19.065015169036347,10.01672577566865,1.6019423666019266,1.1152466855690804,11.903974876459243,12.779776763245659,3.389486678556613,2.6732216113494838
TB,Tanote Bay,Control,7,51.203853685401974,9.582965283609823,17.592768323550175,7.689258388220162,1.8718740674657859,1.3620157878243064,24.779739861931354,11.124498071516976,4.104961848174553,3.4768731462017994
