sim_id,site_code,min_N,max_N,final_N
1,GR,55,79.63073561575257,79.63073561575257
2,RR,6.362891606011509,30,6.362891606011509
3,AL,13.469383611650517,15,13.469383611650517
4,AL,5,7.1422465404378634,7.1422465404378634
5,TW,75,100.08228569670518,100.08228569670518
6,TB,0,9.188353362933038,9.188353362933038
7,SI,20,24.332580853197314,24.332580853197314
8,TW,5,9.106042942351527,9.106042942351527
9,TB,5,6.964142355483247,6.964142355483247
10,RR,23.82157019807015,25,23.82157019807015
11,AL,0,4.762049052492119,4.762049052492119
12,GR,14.998133590063787,15,14.998133590063787
13,AL,8.05068788361544,15,8.05068788361544
14,RR,5.865277171246476,30,5.865277171246476
15,SI,5,7.510833042911097,7.510833042911097
16,RR,31.10339892228952,35,31.10339892228952
17,TB,4.635875726737614,5,4.635875726737614
18,TB,5,5.834221603453335,5.834221603453335
19,TB,5,6.200386329261094,6.200386329261094
20,RR,27.23369070795731,30,27.23369070795731
21,TW,3.869790766624391,5,3.869790766624391
22,GR,8.604887711017042,15,8.604887711017042
23,TB,0,8.159376612507327,8.159376612507327
24,RR,14.171660418744095,15,14.171660418744095
25,RR,15.49484201102757,25,15.49484201102757
26,GR,6.986597271884721,10,6.986597271884721
27,RR,39.64224572305402,40,39.64224572305402
28,TB,5,6.08828139417186,6.08828139417186
29,TW,0,2.4828129763273923,2.4828129763273923
30,TW,3.2900189550846703,15,3.2900189550846703
31,TW,7.374579000389816,10,7.374579000389816
32,TW,6.0529965684443034,10,6.0529965684443034
33,GR,40,44.8837473434383,44.8837473434383
34,AL,13.561364668217763,15,13.561364668217763
35,AL,4.4621843006850845,10,4.4621843006850845
36,SI,0,2.7514955741345823,2.7514955741345823
37,AL,3.351602977127434,5,3.351602977127434
38,RR,30,32.98507558742426,32.98507558742426
39,RR,23.09813011509044,25,23.09813011509044
40,AL,0,5.2848136888459685,5.2848136888459685
41,TB,3.962627769774314,5,3.962627769774314
42,AL,0,2.8531824986993843,2.8531824986993843
43,RR,10.701290547696333,30,10.701290547696333
44,GR,5.955916743172263,15,5.955916743172263
45,RR,31.103837998937898,35,31.103837998937898
46,TB,5,5.611514545601808,5.611514545601808
47,GR,7.63900375950359,15,7.63900375950359
48,RR,17.1232377037725,25,17.1232377037725
49,RR,35,37.257708320255574,37.257708320255574
50,TB,4.825625440535168,5,4.825625440535168
51,GR,25,26.992735180156057,26.992735180156057
