site_code,site,site_type,n_transects,mean_HC,min_HC,max_HC
GR,Green Rock,High Density,8,38.27776840681507,20.394736842105264,60.21052631578947
RR,Red Rock,High Density,6,48.87349921798384,39.55659276546091,55.84
TW,NA,High Density,5,37.71708262933419,26.479999999999997,51.24099279423538
AL,Aow Leuk,Control,9,33.48649925254956,22.017614091273018,57.99999999999999
SI,Shark Island,Control,7,63.616640884020676,44.32,81.28
TB,Tanote Bay,Control,7,51.203853685401974,35.50488599348534,66.64
