site,n_surveys,N0_type,N0,substrate_date,live_coral_prop,live_coral_percent,state1_scenario,State_1,kc_scenario,K_c,sst_scenario,SST,r_T,K_t,valid_state_order,observed_threshold_position,sim_id
Aow Leuk,20,max_observed_density,15,NA,NA,NA,high_endemic,10,moderate_coral_moderate_K,50,warm,31,0.0037267965227149014,NA,NA,NA,36
Aow Leuk,20,max_observed_density,15,NA,NA,NA,high_endemic,10,recovery_reef_increasing_K,75,cool,27,0.004258352536147206,NA,NA,NA,37
Aow Leuk,20,max_observed_density,15,NA,NA,NA,high_endemic,10,recovery_reef_increasing_K,75,current_mean,29,0.004975062395963412,NA,NA,NA,38
Aow Leuk,20,max_observed_density,15,NA,NA,NA,high_endemic,10,recovery_reef_increasing_K,75,extreme_warm,32,0.0027303721331985464,NA,NA,NA,39
Aow Leuk,20,max_observed_density,15,NA,NA,NA,high_endemic,10,recovery_reef_increasing_K,75,warm,31,0.0037267965227149014,NA,NA,NA,40
Aow Leuk,20,max_observed_density,15,NA,NA,NA,low_endemic,3,disturbed_reef_reduced_K,20,cool,27,0.004258352536147206,NA,NA,NA,41
Aow Leuk,20,max_observed_density,15,NA,NA,NA,low_endemic,3,disturbed_reef_reduced_K,20,current_mean,29,0.004975062395963412,NA,NA,NA,42
Aow Leuk,20,max_observed_density,15,NA,NA,NA,low_endemic,3,disturbed_reef_reduced_K,20,extreme_warm,32,0.0027303721331985464,NA,NA,NA,43
Aow Leuk,20,max_observed_density,15,NA,NA,NA,low_endemic,3,disturbed_reef_reduced_K,20,warm,31,0.0037267965227149014,NA,NA,NA,44
Aow Leuk,20,max_observed_density,15,NA,NA,NA,low_endemic,3,high_coral_high_K,100,cool,27,0.004258352536147206,NA,NA,NA,45
Aow Leuk,20,max_observed_density,15,NA,NA,NA,low_endemic,3,high_coral_high_K,100,current_mean,29,0.004975062395963412,NA,NA,NA,46
Aow Leuk,20,max_observed_density,15,NA,NA,NA,low_endemic,3,high_coral_high_K,100,extreme_warm,32,0.0027303721331985464,NA,NA,NA,47
Aow Leuk,20,max_observed_density,15,NA,NA,NA,low_endemic,3,high_coral_high_K,100,warm,31,0.0037267965227149014,NA,NA,NA,48
Aow Leuk,20,max_observed_density,15,NA,NA,NA,low_endemic,3,low_coral_low_K,25,cool,27,0.004258352536147206,NA,NA,NA,49
Aow Leuk,20,max_observed_density,15,NA,NA,NA,low_endemic,3,low_coral_low_K,25,current_mean,29,0.004975062395963412,NA,NA,NA,50
Aow Leuk,20,max_observed_density,15,NA,NA,NA,low_endemic,3,low_coral_low_K,25,extreme_warm,32,0.0027303721331985464,NA,NA,NA,51
Aow Leuk,20,max_observed_density,15,NA,NA,NA,low_endemic,3,low_coral_low_K,25,warm,31,0.0037267965227149014,NA,NA,NA,52
Aow Leuk,20,max_observed_density,15,NA,NA,NA,low_endemic,3,moderate_coral_moderate_K,50,cool,27,0.004258352536147206,NA,NA,NA,53
Aow Leuk,20,max_observed_density,15,NA,NA,NA,low_endemic,3,moderate_coral_moderate_K,50,current_mean,29,0.004975062395963412,NA,NA,NA,54
Aow Leuk,20,max_observed_density,15,NA,NA,NA,low_endemic,3,moderate_coral_moderate_K,50,extreme_warm,32,0.0027303721331985464,NA,NA,NA,55
Aow Leuk,20,max_observed_density,15,NA,NA,NA,low_endemic,3,moderate_coral_moderate_K,50,warm,31,0.0037267965227149014,NA,NA,NA,56
Aow Leuk,20,max_observed_density,15,NA,NA,NA,low_endemic,3,recovery_reef_increasing_K,75,cool,27,0.004258352536147206,NA,NA,NA,57
Aow Leuk,20,max_observed_density,15,NA,NA,NA,low_endemic,3,recovery_reef_increasing_K,75,current_mean,29,0.004975062395963412,NA,NA,NA,58
Aow Leuk,20,max_observed_density,15,NA,NA,NA,low_endemic,3,recovery_reef_increasing_K,75,extreme_warm,32,0.0027303721331985464,NA,NA,NA,59
Aow Leuk,20,max_observed_density,15,NA,NA,NA,low_endemic,3,recovery_reef_increasing_K,75,warm,31,0.0037267965227149014,NA,NA,NA,60
Aow Leuk,20,mean_observed_density,8.75,NA,NA,NA,base_endemic,8,disturbed_reef_reduced_K,20,cool,27,0.004258352536147206,NA,NA,NA,61
Aow Leuk,20,mean_observed_density,8.75,NA,NA,NA,base_endemic,8,disturbed_reef_reduced_K,20,current_mean,29,0.004975062395963412,NA,NA,NA,62
Aow Leuk,20,mean_observed_density,8.75,NA,NA,NA,base_endemic,8,disturbed_reef_reduced_K,20,extreme_warm,32,0.0027303721331985464,NA,NA,NA,63
Aow Leuk,20,mean_observed_density,8.75,NA,NA,NA,base_endemic,8,disturbed_reef_reduced_K,20,warm,31,0.0037267965227149014,NA,NA,NA,64
Aow Leuk,20,mean_observed_density,8.75,NA,NA,NA,base_endemic,8,high_coral_high_K,100,cool,27,0.004258352536147206,NA,NA,NA,65
Aow Leuk,20,mean_observed_density,8.75,NA,NA,NA,base_endemic,8,high_coral_high_K,100,current_mean,29,0.004975062395963412,NA,NA,NA,66
Aow Leuk,20,mean_observed_density,8.75,NA,NA,NA,base_endemic,8,high_coral_high_K,100,extreme_warm,32,0.0027303721331985464,NA,NA,NA,67
Aow Leuk,20,mean_observed_density,8.75,NA,NA,NA,base_endemic,8,high_coral_high_K,100,warm,31,0.0037267965227149014,NA,NA,NA,68
Aow Leuk,20,mean_observed_density,8.75,NA,NA,NA,base_endemic,8,low_coral_low_K,25,cool,27,0.004258352536147206,NA,NA,NA,69
Aow Leuk,20,mean_observed_density,8.75,NA,NA,NA,base_endemic,8,low_coral_low_K,25,current_mean,29,0.004975062395963412,NA,NA,NA,70
Aow Leuk,20,mean_observed_density,8.75,NA,NA,NA,base_endemic,8,low_coral_low_K,25,extreme_warm,32,0.0027303721331985464,NA,NA,NA,71
Aow Leuk,20,mean_observed_density,8.75,NA,NA,NA,base_endemic,8,low_coral_low_K,25,warm,31,0.0037267965227149014,NA,NA,NA,72
Aow Leuk,20,mean_observed_density,8.75,NA,NA,NA,base_endemic,8,moderate_coral_moderate_K,50,cool,27,0.004258352536147206,NA,NA,NA,73
Aow Leuk,20,mean_observed_density,8.75,NA,NA,NA,base_endemic,8,moderate_coral_moderate_K,50,current_mean,29,0.004975062395963412,NA,NA,NA,74
Aow Leuk,20,mean_observed_density,8.75,NA,NA,NA,base_endemic,8,moderate_coral_moderate_K,50,extreme_warm,32,0.0027303721331985464,NA,NA,NA,75
Aow Leuk,20,mean_observed_density,8.75,NA,NA,NA,base_endemic,8,moderate_coral_moderate_K,50,warm,31,0.0037267965227149014,NA,NA,NA,76
Aow Leuk,20,mean_observed_density,8.75,NA,NA,NA,base_endemic,8,recovery_reef_increasing_K,75,cool,27,0.004258352536147206,NA,NA,NA,77
Aow Leuk,20,mean_observed_density,8.75,NA,NA,NA,base_endemic,8,recovery_reef_increasing_K,75,current_mean,29,0.004975062395963412,NA,NA,NA,78
Aow Leuk,20,mean_observed_density,8.75,NA,NA,NA,base_endemic,8,recovery_reef_increasing_K,75,extreme_warm,32,0.0027303721331985464,NA,NA,NA,79
Aow Leuk,20,mean_observed_density,8.75,NA,NA,NA,base_endemic,8,recovery_reef_increasing_K,75,warm,31,0.0037267965227149014,NA,NA,NA,80
Aow Leuk,20,mean_observed_density,8.75,NA,NA,NA,high_endemic,10,disturbed_reef_reduced_K,20,cool,27,0.004258352536147206,NA,NA,NA,81
Aow Leuk,20,mean_observed_density,8.75,NA,NA,NA,high_endemic,10,disturbed_reef_reduced_K,20,current_mean,29,0.004975062395963412,NA,NA,NA,82
Aow Leuk,20,mean_observed_density,8.75,NA,NA,NA,high_endemic,10,disturbed_reef_reduced_K,20,extreme_warm,32,0.0027303721331985464,NA,NA,NA,83
Aow Leuk,20,mean_observed_density,8.75,NA,NA,NA,high_endemic,10,disturbed_reef_reduced_K,20,warm,31,0.0037267965227149014,NA,NA,NA,84
